Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=SEARCHRESULTS&q=EXR.D.E5.PLN.EN00.A
,EXR.D.E5.PLN.EN00.A
,"ECB Nominal effective exch. rate of the Polish zloty against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Polish zloty"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2020-11-11,93.7370
2020-11-10,93.5770
2020-11-09,94.3940
2020-11-06,93.2163
2020-11-05,93.4708
2020-11-04,92.8912
2020-11-03,92.3143
2020-11-02,91.6251
2020-10-30,91.3114
2020-10-29,91.4006
2020-10-28,91.4900
2020-10-27,92.2940
2020-10-26,92.3935
2020-10-23,92.3233
2020-10-22,92.3521
2020-10-21,92.4672
2020-10-20,92.3799
2020-10-19,92.4694
2020-10-16,92.7671
2020-10-15,92.8245
2020-10-14,93.7852
2020-10-13,94.3060
2020-10-12,94.3924
2020-10-09,94.6028
2020-10-08,94.3973
2020-10-07,94.4119
2020-10-06,94.4049
2020-10-05,94.1306
2020-10-02,94.1052
2020-10-01,94.1662
2020-09-30,93.1960
2020-09-29,93.2064
2020-09-28,92.9972
2020-09-25,92.9123
2020-09-24,93.4345
2020-09-23,94.0402
2020-09-22,94.1791
2020-09-21,94.4520
2020-09-18,94.9251
2020-09-17,94.9395
2020-09-16,95.2573
2020-09-15,95.3866
2020-09-14,95.3306
2020-09-11,95.3930
2020-09-10,95.2151
2020-09-09,95.1438
2020-09-08,95.1735
2020-09-07,95.0994
2020-09-04,95.0776
2020-09-03,95.5161
2020-09-02,95.7083
2020-09-01,96.4462
2020-08-31,96.3110
2020-08-28,96.3725
2020-08-27,96.1383
2020-08-26,95.9558
2020-08-25,96.3556
2020-08-24,96.2539
2020-08-21,96.1358
2020-08-20,96.4250
2020-08-19,96.4659
2020-08-18,96.5978
2020-08-17,96.3510
2020-08-14,96.2193
2020-08-13,96.2857
2020-08-12,96.0447
2020-08-11,96.0546
2020-08-10,96.0966
2020-08-07,96.0734
2020-08-06,96.0782
2020-08-05,96.3658
2020-08-04,96.0765
2020-08-03,95.7040
2020-07-31,96.1889
2020-07-30,96.0006
2020-07-29,95.7351
2020-07-28,96.0682
2020-07-27,96.2340
2020-07-24,95.9454
2020-07-23,95.6889
2020-07-22,95.3769
2020-07-21,94.9393
2020-07-20,94.5625
2020-07-17,94.1121
2020-07-16,93.8775
2020-07-15,94.3691
2020-07-14,94.1454
2020-07-13,94.0250
2020-07-10,93.9491
2020-07-09,94.2045
2020-07-08,93.9815
2020-07-07,94.1718
2020-07-06,94.2290
2020-07-03,94.1028
2020-07-02,94.0926
2020-07-01,94.3336
2020-06-30,94.4848
2020-06-29,94.4267
2020-06-26,94.1807
2020-06-25,94.2035
2020-06-24,94.6841
2020-06-23,94.9686
2020-06-22,94.5378
2020-06-19,94.4760
2020-06-18,94.2104
2020-06-17,94.5391
2020-06-16,95.0798
2020-06-15,94.9038
2020-06-12,94.6548
2020-06-11,94.1677
2020-06-10,94.5413
2020-06-09,94.6135
2020-06-08,94.8772
2020-06-05,94.8186
2020-06-04,94.8547
2020-06-03,95.2551
2020-06-02,95.5084
2020-06-01,94.9149
2020-05-29,94.5573
2020-05-28,94.9438
2020-05-27,94.6209
2020-05-26,94.2199
2020-05-25,93.1189
2020-05-22,92.7194
2020-05-21,92.6662
2020-05-20,92.2975
2020-05-19,92.1867
2020-05-18,91.8367
2020-05-15,91.6679
2020-05-14,91.5920
2020-05-13,91.6905
2020-05-12,92.0012
2020-05-11,91.7011
2020-05-08,91.8360
2020-05-07,91.7854
2020-05-06,91.9510
2020-05-05,92.1381
2020-05-04,91.7297
2020-05-01,-
2020-04-30,92.1321
2020-04-29,91.9869
2020-04-28,92.0011
2020-04-27,92.3810
2020-04-24,92.3506
2020-04-23,92.1422
2020-04-22,92.4254
2020-04-21,92.4953
2020-04-20,92.4248
2020-04-17,92.5334
2020-04-16,92.3824
2020-04-15,92.2221
2020-04-14,92.0732
2020-04-13,-
2020-04-10,-
2020-04-09,91.7749
2020-04-08,92.1700
2020-04-07,92.3355
2020-04-06,91.7912
2020-04-03,91.5199
2020-04-02,91.8135
2020-04-01,91.6964
2020-03-31,92.3516
2020-03-30,92.4784
2020-03-27,92.8368
2020-03-26,92.0423
2020-03-25,91.7333
2020-03-24,91.1782
2020-03-23,91.3484
2020-03-20,92.4954
2020-03-19,92.3462
2020-03-18,93.4474
2020-03-17,94.1039
2020-03-16,95.5144
2020-03-13,96.1343
2020-03-12,96.3022
2020-03-11,97.0646
2020-03-10,96.9696
2020-03-09,97.2830
2020-03-06,97.1886
2020-03-05,96.9508
2020-03-04,96.9538
2020-03-03,96.6354
2020-03-02,96.4156
2020-02-28,96.1412
2020-02-27,96.3979
2020-02-26,96.2889
2020-02-25,96.3337
2020-02-24,96.3969
2020-02-21,96.6544
2020-02-20,96.6664
2020-02-19,96.7732
2020-02-18,96.6977
2020-02-17,96.9726
2020-02-14,97.2924
2020-02-13,97.2881
2020-02-12,97.3324
2020-02-11,97.3299
2020-02-10,97.2794
2020-02-07,97.3490
2020-02-06,97.7981
2020-02-05,97.7346
2020-02-04,97.2752
2020-02-03,96.8652
2020-01-31,96.6133
2020-01-30,96.8764
2020-01-29,96.8903
2020-01-28,97.1408
2020-01-27,97.1848
2020-01-24,97.4912
2020-01-23,97.9054
2020-01-22,97.9851
2020-01-21,97.9212
2020-01-20,97.8529
2020-01-17,98.0176
2020-01-16,98.2677
2020-01-15,98.3732
2020-01-14,98.4255
2020-01-13,98.2020
