Data;"Dług skarbu państwa, ogółem"
2001-01-01;268045,7294
2001-02-01;272782,8274
2001-03-01;273158,5878
2001-04-01;270573,9325
2001-05-01;272291,0617
2001-06-01;271562,8129
2001-07-01;282377,2284
2001-08-01;287566,607
2001-09-01;291763,6604
2001-10-01;289152,9569
2001-11-01;288296,0154
2001-12-01;283938,1608
2002-01-01;298928,9124
2002-02-01;302148,8063
2002-03-01;309371,5696
2002-04-01;304810,6853
2002-05-01;313270,4907
2002-06-01;320865,7307
2002-07-01;328144,354
2002-08-01;328294,2469
2002-09-01;331190,564
2002-10-01;327118,9381
2002-11-01;331128,1793
2002-12-01;327904,3914
2003-01-01;335826,5915
2003-02-01;344251,4675
2003-03-01;353400,5237
2003-04-01;350876,0381
2003-05-01;360805,7004
2003-06-01;362634,5435
2003-07-01;362725,8923
2003-08-01;360561,2177
2003-09-01;367856,7603
2003-10-01;378319,1813
2003-11-01;382579,2471
2003-12-01;378943,8336
2004-01-01;394493,3493
2004-02-01;400261,6305
2004-03-01;407067,4056
2004-04-01;408722,0007
2004-05-01;406829,1982
2004-06-01;411234,1526
2004-07-01;408460,9664
2004-08-01;410940,0003
2004-09-01;411804,7636
2004-10-01;412584,8711
2004-11-01;413808,8432
2004-12-01;402860,2329
2005-01-01;421558,4186
2005-02-01;421823,4807
2005-03-01;419814,2066
2005-04-01;432510,6233
2005-05-01;436088,6307
2005-06-01;437499,1644
2005-07-01;444262,4107
2005-08-01;436019,3333
2005-09-01;432814,7033
2005-10-01;438944,0914
2005-11-01;438039,3683
2005-12-01;440167,3229
2006-01-01;447475,9863
2006-02-01;459662,235
2006-03-01;464929,0441
2006-04-01;463781,8771
2006-05-01;467454,3132
2006-06-01;476991,7516
2006-07-01;475926,3978
2006-08-01;473689,0493
2006-09-01;479091,1842
2006-10-01;477116,9416
2006-11-01;477130,0282
2006-12-01;478526,4301
2007-01-01;490298,6995
2007-02-01;493674,9712
2007-03-01;491704,1403
2007-04-01;486566,5018
2007-05-01;488526,6345
2007-06-01;486286,0431
2007-07-01;487204,3081
2007-08-01;487526,1416
2007-09-01;490072,266
2007-10-01;488259,0014
2007-11-01;496203,4201
2007-12-01;501531,0416
2008-01-01;500074,3837
2008-02-01;498631,3086
2008-03-01;497375,8348
2008-04-01;497933,2526
2008-05-01;504529,6673
2008-06-01;507288,5867
2008-07-01;508410,2643
2008-08-01;514729,7863
2008-09-01;516518,323
2008-10-01;535189,3935
2008-11-01;544686,0443
