Data;"Nakłady brutto na środki trwałe"
1996-03-01;12,7
1996-06-01;21,1
1996-09-01;27
1996-12-01;17
1997-03-01;20,1
1997-06-01;20,8
1997-09-01;21,4
1997-12-01;23,5
1998-03-01;17
1998-06-01;14,4
1998-09-01;14
1998-12-01;12,7
1999-03-01;6
1999-06-01;6,3
1999-09-01;6,7
1999-12-01;7
2000-03-01;5,4
2000-06-01;2,8
2000-09-01;2
2000-12-01;2,1
2001-03-01;1,6
2001-06-01;-8,7
2001-09-01;-12,8
2001-12-01;-13,2
2002-03-01;-12,4
2002-06-01;-7,5
2002-09-01;-5,3
2002-12-01;-3,2
2003-03-01;-1,96
2003-06-01;0,78
2003-09-01;2,85
2003-12-01;1,97
2004-03-01;4,5
2004-06-01;5,44
2004-09-01;6,01
2004-12-01;8,86
2005-03-01;1,34
2005-06-01;7,08
2005-09-01;9,52
2005-12-01;12,45
2006-03-01;5,73
2006-06-01;13,43
2006-09-01;15,61
2006-12-01;14,91
2007-03-01;24,04
2007-06-01;22,55
2007-09-01;19,15
2007-12-01;15,91
2008-03-01;12,95
2008-06-01;14,51
2008-09-01;5,01
2008-12-01;5,33
2009-03-01;-0,73
2009-06-01;-4,71
2009-09-01;-2,9
2009-12-01;-0,03
2010-03-01;-9,25
2010-06-01;0,68
2010-09-01;0,13
2010-12-01;2,48
2011-03-01;5,37
2011-06-01;7,82
2011-09-01;10,43
2011-12-01;9,58
2012-03-01;6,73
2012-06-01;-0,11
2012-09-01;-3,17
2012-12-01;-4,87
2013-03-01;-2,51
2013-06-01;-3,46
2013-09-01;-0,19
2013-12-01;0,34
2014-03-01;12
2014-06-01;9,6
2014-09-01;9,7
2014-12-01;9,7
2015-03-01;12,7
2015-06-01;6,4
2015-09-01;4,3
2015-12-01;4,5
2016-03-01;-9,7
2016-06-01;-4,7
2016-09-01;-6,9
2016-12-01;-10,2
2017-03-01;1,7
2017-06-01;1,7
2017-09-01;4,2
2017-12-01;6,2
2018-03-01;11,2
2018-06-01;6,5
2018-09-01;11,4
2018-12-01;9
2019-03-01;11,6
2019-06-01;8,8
2019-09-01;4,6
2019-12-01;6,1
2020-03-01;0,9
2020-06-01;-10,9
