,Wskaźnik cen konsumenta CPI (% r/r),    Ceny żywności (% r/r),    Ceny energii (% r/r),    Wskaźnik cen inflacji bazowej po wyłączeniu cen żywności i energii (% r/r),PKB (% r/r),    Popyt krajowy (% r/r),        Spożycie indywidualne (% r/r),        Spożycie zbiorowe (% r/r),        Nakłady inwestycyjne (% r/r),    Wkład eksportu netto (pkt. proc. r/r),        Eksport (% r/r),        Import (% r/r),Płace brutto (% r/r),Liczba pracujących (% r/r),Stopa bezrobocia (%),NAWRU (%),Stopa aktywności zawodowej (%),Wydajność pracy (% r/r),Jednostkowe koszty pracy (% r/r),Produkt potencjalny (% r/r),Luka popytowa (% PKB potencjalnego),"Indeks cen surowców rolnych (USD; 2010=1,00)","Indeks cen surowców energetycznych (USD; 2010=1,00)",Poziom cen za granicą (% r/r),PKB za granicą (% r/r),Saldo rachunku bieżącego i rachunku kapitałowego (% PKB),WIBOR 3M (%)
2008-01-01,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-02,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-03,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-04,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-07,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-08,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-09,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-10,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-11,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
2008-01-14,4.3,6.3,8.8,2.4,5.1,5.5,4.8,0.2,13.1,-0.6,9.3,9.9,10.5,0.8,7.8,10.6,54.3,4.3,4.7,7.2,0.0,1.24,2.16,2.6,1.3,-3.4,6.35
